profile_id,point_id,point_name,x_utm,y_utm,z_m
13,1,Talweg,803730.9625682839,6283715.247613765,-627.8449096679688
13,2,Edge_Left,802539.1292760354,6286540.764589535,-157.33091735839844
13,3,Edge_Right,804869.1915366318,6281016.812108316,-147.74697875976562
13,4,P4_Wmax,803730.962568284,6283715.247613765,-152.428706251905
14,1,Talweg,803289.2545045468,6283411.801778614,-640.9577026367188
14,2,Edge_Left,802690.4163961712,6286523.290506663,-166.5081787109375
14,3,Edge_Right,803756.1250466023,6280986.000199278,-170.37815856933594
14,4,P4_Wmax,803289.2545045469,6283411.801778614,-168.68278001206937
15,1,Talweg,802607.6360319257,6283061.723025965,-662.1973266601562
15,2,Edge_Left,801493.6040700082,6286786.817463889,-159.77391052246094
15,3,Edge_Right,803278.9355016093,6280817.035255611,-164.3419952392578
15,4,P4_Wmax,802607.6360319258,6283061.723025965,-162.62435738581735
16,1,Talweg,802330.9882067583,6282978.885190371,-667.9559936523438
16,2,Edge_Left,801737.4625632007,6286776.019126865,-158.5584259033203
16,3,Edge_Right,802663.6841456653,6280850.432858328,-160.8822021484375
16,4,P4_Wmax,802330.9882067583,6282978.885190371,-160.04750888030838
17,1,Talweg,799642.8241769181,6283619.629208326,-734.011474609375
17,2,Edge_Left,801016.2768965978,6287375.271829893,-163.7900848388672
17,3,Edge_Right,798201.9913269463,6279679.738752417,-141.69949340820312
17,4,P4_Wmax,799642.8241769182,6283619.629208326,-153.00923757625878
18,1,Talweg,799138.0961351754,6283926.286836627,-749.9359741210938
18,2,Edge_Left,800457.2936604585,6287608.812436274,-157.98904418945312
18,3,Edge_Right,797650.6192189722,6279774.011140364,-142.96592712402344
18,4,P4_Wmax,799138.0961351754,6283926.286836627,-150.92785513175193
19,1,Talweg,798412.0032372318,6284036.066749927,-771.1493530273438
19,2,Edge_Left,798877.5344164267,6287941.164555974,-156.47314453125
19,3,Edge_Right,797897.8150870113,6279722.811038903,-140.08885192871094
19,4,P4_Wmax,798412.0032372319,6284036.066749927,-148.6878545747018
20,1,Talweg,797914.4605760617,6284103.403027323,-782.0782470703125
20,2,Edge_Left,798142.4421636802,6288339.831448756,-154.01028442382812
20,3,Edge_Right,797681.3077657338,6279770.881254278,-142.5581512451172
20,4,P4_Wmax,797914.4605760617,6284103.403027323,-148.34843070975327
21,1,Talweg,797640.3683536289,6284110.930462451,-789.5609741210938
21,2,Edge_Left,797756.6602929634,6288476.48746575,-163.21360778808594
21,3,Edge_Right,797525.7588282092,6279808.530664117,-138.2532958984375
21,4,P4_Wmax,797640.3683536289,6284110.930462451,-150.64251786827154
22,1,Talweg,797406.9300570703,6284117.341412816,-793.8104248046875
22,2,Edge_Left,797519.872366045,6288453.313098319,-156.7459716796875
22,3,Edge_Right,797294.1088969727,6279786.020757614,-138.70753479003906
